d0,d1,d2,d3,d4,d5,d6,d7,RD,WR,cs,A0,A1,A2,A3,A4,A5,A6,A7,,
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FF9
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,FFF9
1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,FFF9
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,,2FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFA
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFA
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFB
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFB
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFF
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFF
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFFF
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,FC2D
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,FC2D
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,FC2D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,,302D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02D
1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,,F02D
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,,F02E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,,F02E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,,F02E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,,702E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,,702E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,,702E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02E
0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,,F02E
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,,702F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,,F02F
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,,F02F
1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,,F05D
1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,,F05D
1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,,F05D
1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,385D
1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,385D
1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,,385D
1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,385D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85D
1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85D
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,,F85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,385E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85E
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,,B85E
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,FFFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,BBFF
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,B83A
